YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2022-W04,AT,7427239.0,0.0,0.0,0,,0,2,0,0,0,0,0,AT,ALL,MODBA.1,8978929
2022-W04,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,0,AT,ALL,NVXD,8978929
2022-W04,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,0,AT,ALL,SGSK,8978929
2022-W04,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,21,AT,ALL,UNK,8978929
2022-W04,AT,7427239.0,120200.0,1200.0,710,,1158,9847,137,5,0,0,0,AT,ALL,MOD,8978929
2022-W15,AT,7427239.0,833850.0,0.0,578,,1256,9753,3806,7,0,0,0,AT,ALL,COM,8978929
2022-W04,AT,7427239.0,0.0,0.0,91,,10,198,6,0,0,0,0,AT,ALL,JANSS,8978929
2022-W03,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,0,AT,ALL,NVXD,8978929
2022-W01,AT,7427239.0,0.0,0.0,1,,1,0,0,0,0,0,0,AT,ALL,COMBA.4-5,8978929
2022-W01,AT,7427239.0,0.0,0.0,137,,9,1146,3,1,0,0,0,AT,ALL,JANSS,8978929
2022-W01,AT,7427239.0,57600.0,0.0,811,,2184,20471,158,5,0,0,0,AT,ALL,MOD,8978929
2022-W01,AT,7427239.0,0.0,0.0,0,,0,8,0,0,0,0,0,AT,ALL,MODBA.1,8978929
2022-W01,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,0,AT,ALL,NVXD,8978929
2022-W01,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,0,AT,ALL,SGSK,8978929
2022-W01,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,30,AT,ALL,UNK,8978929
2022-W22,AT,7427239.0,0.0,0.0,7,,1,10,30,0,0,0,0,AT,ALL,JANSS,8978929
2022-W01,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,0,AT,ALL,VLA,8978929
2022-W02,AT,7427239.0,0.0,0.0,2,,5,21,3,0,0,0,0,AT,ALL,AZ,8978929
2022-W02,AT,7427239.0,368520.0,0.0,20403,,39984,198245,1902,30,0,0,0,AT,ALL,COM,8978929
2022-W02,AT,7427239.0,0.0,0.0,5,,3,13,1,0,0,0,0,AT,ALL,COMBA.1,8978929
2022-W02,AT,7427239.0,0.0,0.0,0,,0,1,1,0,0,0,0,AT,ALL,COMBA.4-5,8978929
2022-W02,AT,7427239.0,0.0,0.0,131,,8,486,2,0,0,0,0,AT,ALL,JANSS,8978929
2022-W02,AT,7427239.0,94800.0,0.0,1050,,2639,21975,241,4,0,0,0,AT,ALL,MOD,8978929
2022-W19,AT,7427239.0,0.0,0.0,0,,0,2,0,0,0,0,0,AT,ALL,AZ,8978929
2022-W18,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,0,AT,ALL,VLA,8978929
2022-W18,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,15,AT,ALL,UNK,8978929
2022-W18,AT,7427239.0,0.0,0.0,0,,0,0,0,0,0,0,0,AT,ALL,SGSK,8978929
2022-W18,AT,7427239.0,0.0,0.0,94,,103,136,58,4,0,0,0,AT,ALL,NVXD,8978929
2022-W32,AT,7427239.0,0.0,0.0,19,,22,30,125,1,0,0,0,AT,ALL,NVXD,8978929
2022-W27,AT,7427239.0,0.0,0.0,21,,32,291,2603,16,0,0,0,AT,ALL,MOD,8978929
2022-W27,AT,7427239.0,0.0,0.0,0,,0,2,2,0,0,0,0,AT,ALL,MODBA.1,8978929
